time,id,age,gender,education,employment_status,province,migration_stage,time_in_current_stage,behavioral_attitude,subjective_norm,perceived_behavioral_control,actual_behavioral_control,V_score,has_family_abroad
1,21,35.72335782851838,male,13,blue_collar,18,assessment,0.0,0.45,0.15000000000000002,0.4904270947032826,0.0,0.0,false
1,22,45.246197748960846,female,6,unemployed,16,assessment,0.0,0.45,0.15000000000000002,0.22196657041816636,0.0,0.0,false
1,23,30.26871473449088,female,15,underemployed,44,assessment,0.0,0.45,0.15000000000000002,0.5615298517082655,0.0,0.0,false
1,24,20.1804438496296,female,4,underemployed,72,never_consider,1.0,0.45,0.15000000000000002,0.34190758245545827,0.0,0.0,false
1,25,39.8851745464615,female,4,self_employment,70,assessment,0.0,0.45,0.15000000000000002,0.3902440410598226,0.0,0.0,false
1,26,21.38222150673023,male,10,blue_collar,14,never_consider,1.0,0.45,0.45,0.3562229627022208,0.0,0.0,true
1,27,34.80255889357758,male,4,unemployed,38,assessment,0.0,0.45,0.45,0.23293337410092263,0.0,0.0,true
1,28,33.76322911962663,female,3,self_employment,43,assessment,0.0,0.45,0.15000000000000002,0.28181287146082756,0.0,0.0,false
1,29,41.27489426700476,male,17,unemployed,60,assessment,0.0,0.45,0.15000000000000002,0.5434407745980541,0.0,0.0,false
1,30,49.192420549297864,female,6,blue_collar,12,assessment,0.0,0.45,0.15000000000000002,0.38845646515536825,0.0,0.0,false
1,31,29.56462716604862,female,10,unemployed,30,assessment,0.0,0.45,0.15000000000000002,0.3071426603034534,0.0,0.0,false
1,32,49.68174775908341,male,9,unemployed,27,assessment,0.0,0.45,0.15000000000000002,0.36911502623670595,0.0,0.0,false
1,33,44.165233225036836,male,10,white_collar,60,assessment,0.0,0.45,0.15000000000000002,0.43000000000000005,0.0,0.0,false
1,34,51.83511768786219,male,9,underemployed,47,assessment,0.0,0.45,0.15000000000000002,0.5069223947011826,0.0,0.0,false
1,35,28.615366079784415,male,5,underemployed,53,assessment,0.0,0.45,0.15000000000000002,0.3582488058500338,0.0,0.0,false
1,36,29.213863966829326,male,0,self_employment,4,assessment,0.0,0.45,0.45,0.20273936274083104,0.0,0.0,true
1,37,28.998986957792415,male,16,underemployed,43,assessment,0.0,0.45,0.15000000000000002,0.6159796212655648,0.0,0.0,false
